Timestamp,SAB:G1.TNH_V,SAB:G1.L89SSC,SAB:G1.L52BT1,SAB:G1.L52BT2,SAB:G1.L52BD1,SAB:G1.L52BD2,SAB:G1.L52VG1,SAB:G1.L52VG2,SAB:G1.L1X,SAB:G1.L52BN1,SAB:G1.L52BN2,SAB:BOP.A3.LCA54.AA091XH01,SAB:G1.L52TK1,SAB:G1.L52TK2
4/12/2022T 15:43:10,12.5018415,,,,,,,,,,1,1,,
4/12/2022T 15:43:11,12.5020266,,,,,,,,,,1,1,,
4/12/2022T 15:43:12,12.5022106,,,,,,,,,,1,1,,
4/12/2022T 15:43:13,12.5023956,,,,,,,,,,1,1,,
4/12/2022T 15:43:14,12.50258,,,,,,,,,,1,1,,
4/12/2022T 15:43:15,12.5011425,,,,,,,,1,,1,1,,
4/12/2022T 15:43:16,12.4988937,,,,,,,,1,,1,1,,
4/12/2022T 15:43:17,12.496645,,,,,,,,1,,1,1,,
4/12/2022T 15:43:18,12.4943953,,,,,,,,1,,1,1,,
4/12/2022T 15:43:19,12.4921465,,,,,,,,1,,1,1,,
4/12/2022T 15:43:20,12.4811649,1,,,,,,,1,,1,1,,
4/12/2022T 15:43:21,12.4629393,1,,,,,,,1,,1,1,,
4/12/2022T 15:43:22,12.4447136,1,,,,,,,1,,1,1,,
4/12/2022T 15:43:23,12.4264879,1,,,,,,,1,,1,1,,
4/12/2022T 15:43:24,12.4082623,1,,,,,,,1,,1,1,,
4/12/2022T 15:43:25,12.3804665,1,,,,,,,1,,1,1,,
4/12/2022T 15:43:26,12.341733,1,,,,,,,1,,1,1,,
4/12/2022T 15:43:27,12.3029985,1,,,,,,,1,,1,1,,
4/12/2022T 15:43:28,12.2642651,1,,,,,,,1,,1,1,,
4/12/2022T 15:43:29,12.2255306,1,,,,,,,1,,1,1,,
4/12/2022T 15:43:30,12.1815605,1,,,,,,,1,,1,1,,
4/12/2022T 15:43:31,12.1277189,1,,,,,,,1,,1,1,,
4/12/2022T 15:43:32,12.0738764,1,,,,,,,1,,1,1,,
4/12/2022T 15:43:33,12.0200348,1,,,,,,,1,,1,1,,
4/12/2022T 15:43:34,11.9661932,1,,,,,,,1,,1,1,,
4/12/2022T 15:43:35,13.76221,1,,,,,,,1,,1,1,,
4/12/2022T 15:43:36,23.62107,1,,,,,,,1,,1,1,,
4/12/2022T 15:43:37,33.4799347,1,,,,,,,1,,1,1,,
4/12/2022T 15:43:38,43.3387947,1,,,,,,,1,,1,1,,
4/12/2022T 15:43:39,53.19766,1,,,,,,,1,,1,1,,
4/12/2022T 15:43:40,63.0261536,1,,,,,,,1,,1,1,,
4/12/2022T 15:43:41,72.42921,1,,,,,,,1,,1,1,,
4/12/2022T 15:43:42,81.83226,1,,,,,,,1,,1,1,,
4/12/2022T 15:43:43,91.23531,1,,,,,,,1,,1,1,,
4/12/2022T 15:43:44,100.638359,1,,,,,,,1,,1,1,,
4/12/2022T 15:43:45,110.041412,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:43:46,118.32618,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:43:47,126.54789,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:43:48,134.7696,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:43:49,142.991318,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:43:50,151.213028,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:43:51,158.7364,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:43:52,166.113327,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:43:53,173.490234,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:43:54,180.867142,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:43:55,188.244049,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:43:56,195.540482,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:43:57,202.809616,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:43:58,210.078751,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:43:59,217.34787,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:00,224.617,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:01,231.583557,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:02,238.336914,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:03,245.090256,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:04,251.843613,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:05,258.596954,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:06,265.27597,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:07,271.87,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:08,278.46402,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:09,285.058044,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:10,291.652069,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:11,298.274567,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:12,304.942261,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:13,311.609924,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:14,318.2776,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:15,324.945251,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:16,331.500549,1,,1,,1,1,,1,,1,1,,
4/12/2022T 15:44:17,337.672333,1,,1,,1,1,,1,,1,1,,
